frame,nrD,nrV,nrD_ratio,nrV_ratio,head_angle,dhead_dt,theta_rad,theta_deg,bin_index,binned_theta_deg,binned_theta_rad,polar_x,polar_y
94,1.0430861101360385,1.2581579417754687,0.4532705295944637,0.5467294704055362,-31.572294988599992,-13.721064133700002,3.5515596060471357,203.48937611564625,20,205.0,3.577924966588375,-0.90630778703665,-0.4226182617406993
95,1.0640695659036497,1.2353277616311016,0.4627601994495091,0.5372398005504909,-44.748121278,-12.304394650699995,3.4099310512844627,195.3746576692076,19,195.0,3.4033920413889422,-0.9659258262890684,-0.2588190451025203
96,1.144536399644816,1.216681270279327,0.4847229521544219,0.5152770478455782,-56.18108428999999,-4.3118184199999945,3.21819107168454,184.3887660742075,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
97,1.1304378849868717,0.7665886935245093,0.5958998665553434,0.4041001334446565,-53.37175811799999,3.5155755789999965,3.075818085995527,176.2313948775506,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
98,1.1167762954323186,0.7121703865500676,0.6106117288350091,0.3893882711649907,-49.149933131999994,-0.1305434320000031,3.1442486719546454,180.15217864261527,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
99,1.1098906432465896,0.8381658294147812,0.5697425402305167,0.4302574597694832,-53.632844981999995,-1.4710922029999978,3.1690147201624095,181.57116868013767,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
100,1.0477116432593554,0.917514156559772,0.5331253250164857,0.4668746749835142,-52.09211753799999,5.091012615,3.0441710771655845,174.41815483738165,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
101,0.9851249823230772,0.9248617793423538,0.5157758169297928,0.4842241830702071,-43.450819751999994,4.091644350999999,3.0477022704770995,174.6204773107763,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
102,0.9394392209654716,0.9363370132012564,0.500826913068763,0.4991730869312369,-43.90882883599999,1.050165910999997,3.117680247623273,178.62992006011496,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
103,1.050710830472577,0.951301068546146,0.5248274653050654,0.4751725346949346,-41.35048793,9.6303631296,2.912775515264123,166.88974369367793,16,165.0,2.8797932657906435,-0.9659258262890682,0.258819045102521
104,1.0459771076843154,0.9689651139929368,0.5191102238225157,0.4808897761774843,-24.648102576799992,15.602938255600002,2.5772412361032657,147.66504561579646,14,145.0,2.5307274153917776,-0.8191520442889917,0.5735764363510464
105,1.0618824728139598,0.9885751915835416,0.517875833893883,0.4821241661061169,-10.144611418799997,13.023000016,2.2325859793801186,127.91775401856223,12,125.0,2.1816615649929116,-0.5735764363510458,0.819152044288992
106,1.024286419444416,1.009508552272076,0.5036330769270877,0.4963669230729124,1.3978974552000054,12.067554966,1.4554710065702778,83.39234588013463,8,85.0,1.4835298641951802,0.0871557427476581,0.9961946980917455
107,1.0824845339841134,1.031116603692419,0.5121517559240536,0.4878482440759464,13.990498513200004,12.631170101,0.7343814927718251,42.07696008834275,4,45.0,0.7853981633974483,0.7071067811865476,0.7071067811865475
108,1.0090512606369888,1.0523402819823102,0.4895000487655255,0.5104999512344744,26.660237657200003,12.0172239364,0.4234812491739816,24.26368828059713,2,25.0,0.4363323129985824,0.90630778703665,0.4226182617406994
109,0.978502648843136,1.071728132498829,0.4772646366194266,0.5227353633805735,38.024946386,11.475025039400004,0.2930855673473029,16.79256604519771,1,15.0,0.2617993877991494,0.9659258262890684,0.2588190451025207
110,0.9565062574376636,0.7239760777687433,0.5691855471483904,0.4308144528516095,49.61028773600001,11.260275836000002,0.2231931103120796,12.788023237279978,1,15.0,0.2617993877991494,0.9659258262890684,0.2588190451025207
111,0.9767962662345244,0.7861355939372465,0.554074884175813,0.4459251158241871,60.54549805800001,9.313732850999994,0.1526338527096715,8.745275571085624,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
112,0.9028449702515156,0.7911818176072076,0.5329579064052027,0.4670420935947973,68.237753438,6.283796796000004,0.0918278248215145,5.2613468041394444,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
113,0.8247657659539025,0.7928318753514431,0.5098707768195958,0.4901292231804041,73.11309165000002,3.630505840000005,0.0496152771879723,2.842745982242525,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
114,0.852679864168763,0.7912433573158585,0.5186859416698979,0.4813140583301021,75.49876511800001,-0.6343416830000024,6.274783490861543,359.5186113847319,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
115,0.8545485394412737,0.7865434571494667,0.5207194607106375,0.4792805392893625,71.84440828400001,-6.306295491,6.195632583067459,354.9835984235018,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
116,0.8598145203963437,0.7788116460847779,0.5247167035314454,0.4752832964685545,62.88617413600001,-10.722186263,6.1143077884007875,350.32403091933355,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
117,0.9163127376144076,0.768125475538969,0.5439871468476194,0.4560128531523805,50.40003575800001,-14.160248988100005,6.009289286019226,344.3069139620855,34,345.0,6.021385919380437,0.9659258262890684,-0.2588190451025207
