timestamp,X_motor,Y_motor,X_centroid,Y_centroid
15:01:29.932226,20489.799000,27865.101750,19985.871000,27361.173750
15:01:30.035409,20487.608250,27860.291625,20151.656250,27356.363625
15:01:30.135618,20482.560000,27855.910125,20146.608000,27519.958125
15:01:30.235690,20479.988250,27851.576250,20144.036250,27683.600250
15:01:30.345274,20476.702125,27849.814125,20308.726125,27681.838125
15:01:30.438003,20474.178000,27848.242500,20306.202000,27680.266500
15:01:30.536329,20472.415875,27846.670875,20304.439875,27846.670875
15:01:30.637677,20470.749000,27846.670875,20470.749000,27846.670875
15:01:30.735387,20470.558500,27846.670875,20470.558500,27846.670875
15:01:30.834377,20470.558500,27846.670875,20302.582500,27846.670875
15:01:30.935329,20469.177375,27846.670875,20301.201375,27846.670875
15:01:31.034388,20467.653375,27846.670875,20299.677375,27846.670875
15:01:31.135714,20466.034125,27846.670875,20466.034125,27846.670875
15:01:31.237081,20465.843625,27846.670875,20465.843625,27846.670875
15:01:31.336391,20465.843625,27846.670875,20297.867625,27846.670875
15:01:31.436823,20464.557750,27846.670875,20128.605750,27846.670875
15:01:31.538589,20462.748000,27846.670875,19958.820000,28014.646875
15:01:31.637468,20459.509500,27848.242500,19955.581500,28016.218500
15:01:31.736811,20453.937375,27849.814125,19950.009375,28017.790125
15:01:31.838767,20450.032125,27851.385750,19946.104125,28019.361750
15:01:31.937085,20444.698125,27852.957375,20108.746125,27852.957375
15:01:32.036591,20440.411875,27852.957375,20104.459875,28020.933375
15:01:32.136753,20437.506750,27854.529000,20101.554750,28022.505000
15:01:32.239418,20434.268250,27856.100625,19930.340250,28024.076625
15:01:32.337828,20431.172625,27857.672250,19927.244625,28025.648250
15:01:32.435578,20425.552875,27859.243875,19921.624875,28027.219875
15:01:32.533558,20421.314250,27860.815500,19749.410250,28028.791500
15:01:32.635674,20415.742125,27862.387125,19575.862125,28198.339125
15:01:32.737442,20409.789000,27865.054125,19569.909000,28201.006125
15:01:32.839504,20401.645125,27868.197375,19561.765125,28204.149375
15:01:32.937788,20394.739500,27871.388250,19554.859500,28039.364250
15:01:33.034342,20386.976625,27873.531375,19547.096625,27873.531375
15:01:33.138416,20379.166125,27873.531375,19539.286125,28041.507375
15:01:33.239187,20372.498625,27875.103000,19700.594625,27875.103000
15:01:33.344168,20364.259500,27875.103000,19692.355500,27875.103000
15:01:33.436244,20360.354250,27875.103000,19688.450250,28043.079000
15:01:33.539242,20352.353250,27876.674625,19680.449250,28044.650625
15:01:33.637306,20348.305125,27878.246250,19676.401125,28046.222250
15:01:33.737178,20340.637500,27879.817875,19668.733500,28047.793875
15:01:33.835846,20335.589250,27881.389500,19663.685250,28049.365500
15:01:33.936264,20328.540750,27882.961125,19656.636750,28050.937125
15:01:34.038187,20323.302000,27884.532750,19819.374000,28052.508750
15:01:34.134784,20316.729750,27886.104375,19476.849750,28054.080375
15:01:34.236847,20313.110250,27887.676000,19473.230250,28055.652000
15:01:34.338798,20303.918625,27889.247625,19464.038625,28057.223625
15:01:34.439370,20298.156000,27890.819250,19458.276000,28058.795250
15:01:34.538245,20289.774000,27892.390875,19449.894000,28060.366875
15:01:34.638268,20282.868375,27893.962500,19442.988375,28229.914500
15:01:34.739294,20275.105500,27896.629500,19435.225500,28232.581500
15:01:34.837506,20267.961750,27899.772750,19428.081750,28571.676750
15:01:34.936685,20260.056000,27903.535125,19420.176000,28407.463125
15:01:35.037522,20252.769375,27910.250250,19412.889375,28582.154250
15:01:35.138631,20245.482750,27913.726875,19573.578750,28417.654875
15:01:35.240017,20237.910375,27920.632500,19398.030375,28424.560500
15:01:35.337653,20232.862125,27923.966250,19392.982125,28427.894250
15:01:35.437096,20223.813375,27929.586000,19215.957375,28601.490000
15:01:35.550621,20216.526750,27934.681875,19040.694750,28606.585875
15:01:35.646074,20208.335250,27940.777875,18864.527250,28780.657875
15:01:35.740584,20198.524500,27947.064375,18854.716500,28786.944375
15:01:35.843809,20186.570625,27955.494000,18842.762625,28795.374000
15:01:35.941510,20176.664625,27961.828125,19000.832625,28801.708125
15:01:36.036285,20165.329875,27969.781500,18821.521875,28977.637500
15:01:36.140908,20155.519125,27977.877750,18979.687125,28817.757750
15:01:36.239274,20144.613000,27986.212125,19136.757000,28658.116125
15:01:36.337490,20134.849875,27992.832000,19294.969875,28496.760000
15:01:36.439800,20126.706000,27998.166000,19286.826000,28502.094000
15:01:36.539063,20119.990875,28002.023625,19448.086875,28505.951625
15:01:36.639072,20112.037500,28007.595750,19440.133500,28343.547750
15:01:36.748316,20106.655875,28011.405750,19434.751875,28515.333750
15:01:36.845336,20100.512250,28014.549000,19596.584250,28350.501000
15:01:36.939304,20094.654375,28019.025750,19590.726375,28354.977750
15:01:37.041272,20090.511000,28021.978500,19418.607000,28525.906500
15:01:37.151404,20084.272125,28026.360000,19580.344125,28362.312000
15:01:37.235615,20079.890625,28029.312750,19575.962625,28365.264750
15:01:37.334826,20073.747000,28033.313250,19737.795000,28201.289250
15:01:37.441114,20070.222750,28035.170625,19734.270750,28203.146625
15:01:37.541545,20067.412875,28036.742250,19731.460875,28204.718250
15:01:37.648705,20063.602875,28038.313875,19727.650875,28374.265875
15:01:37.744567,20061.507375,28040.695125,19557.579375,28376.647125
15:01:37.840055,20058.078375,28043.886000,19386.174375,28547.814000
15:01:37.939438,20051.982375,28047.696000,19548.054375,28551.624000
15:01:38.035447,20045.981625,28053.125250,19374.077625,28389.077250
15:01:38.138000,20041.695375,28056.935250,19537.767375,28392.887250
15:01:38.239002,20034.789750,28059.888000,19530.861750,28395.840000
15:01:38.337829,20031.551250,28062.983625,19527.623250,28398.935625
15:01:38.438682,20025.883875,28066.222125,19353.979875,28402.174125
15:01:38.536084,20022.169125,28069.413000,19518.241125,28405.365000
15:01:38.645170,20014.739625,28072.889625,19678.787625,28240.865625
15:01:38.741163,20012.310750,28074.747000,19676.358750,28410.699000
15:01:38.841774,20008.834125,28077.414000,19504.906125,28413.366000
15:01:38.937359,20005.738500,28080.462000,19669.786500,28248.438000
15:01:39.040538,20000.118750,28082.700375,19496.190750,28418.652375
15:01:39.138010,19997.880375,28085.319750,19661.928375,28253.295750
15:01:39.237584,19992.403500,28087.462875,19320.499500,28423.414875
15:01:39.336015,19989.974625,28090.129875,18646.166625,28594.057875
15:01:39.446377,19981.830750,28094.178000,18638.022750,28598.106000
