a,time,aligned_time
1.1604380359715782,18.3,-2.6999999999999993
1.1472931859288522,18.4,-2.6000000000000014
1.136978693659966,18.5,-2.5
1.1332885116714246,18.6,-2.3999999999999986
1.135940781359983,18.7,-2.3000000000000007
1.141189957966128,18.8,-2.1999999999999993
1.1432261625362703,18.9,-2.1000000000000014
1.1358768061679982,19.0,-2.0
1.1145529763351576,19.1,-1.8999999999999986
1.078343441641676,19.2,-1.8000000000000007
1.0315661958092075,19.3,-1.6999999999999993
0.9836051055757388,19.4,-1.6000000000000014
0.9462408409877102,19.5,-1.5
0.9290296820477382,19.6,-1.3999999999999986
0.934802266079008,19.7,-1.3000000000000007
0.9578579631680844,19.8,-1.1999999999999993
0.9862720475726944,19.9,-1.1000000000000014
1.0074308948433712,20.0,-1.0
1.0139209165511165,20.1,-0.8999999999999986
1.0066038259350822,20.2,-0.8000000000000007
0.9933594537326864,20.3,-0.6999999999999993
0.9844816042790884,20.4,-0.6000000000000014
0.9874683054191046,20.5,-0.5
1.0039680920775549,20.6,-0.3999999999999986
1.0301469508139305,20.7,-0.3000000000000007
1.0597948534948272,20.8,-0.1999999999999993
1.0881802327613417,20.9,-0.10000000000000142
1.1144803964895804,21.0,0.0
1.1414519039829962,21.1,0.10000000000000142
1.1724659095214132,21.2,0.1999999999999993
1.2075829941182696,21.3,0.3000000000000007
1.241256120275004,21.4,0.3999999999999986
1.2637939860656815,21.5,0.5
1.2666642918282014,21.6,0.6000000000000014
1.2489495695415138,21.7,0.6999999999999993
1.2206434151398164,21.8,0.8000000000000007
1.199608546883193,21.9,0.8999999999999986
1.2028303982518835,22.0,1.0
1.2367900116755384,22.1,1.1000000000000014
1.2931374061537495,22.2,1.1999999999999993
1.3528620977428096,22.3,1.3000000000000007
1.396623849369632,22.4,1.3999999999999986
1.414819655573405,22.5,1.5
1.4113460698788782,22.6,1.6000000000000014
1.399376151145889,22.7,1.6999999999999993
1.392418341034632,22.8,1.8000000000000007
1.396197894822646,22.9,1.8999999999999986
1.405714889268923,23.0,2.0
1.408717390198328,23.1,2.1000000000000014
1.3936972050995833,23.2,2.1999999999999993
1.3583452416626225,23.3,2.3000000000000007
1.3136798979447584,23.4,2.3999999999999986
1.2804863956529666,23.5,2.5
1.2785760254067735,23.6,2.6000000000000014
1.3142058834751644,23.7,2.6999999999999993
1.373483835369388,23.8,2.8000000000000007
1.4270194730830017,23.9,2.8999999999999986
1.4442895686141652,24.0,3.0
1.4096592037518925,24.1,3.1000000000000014
1.3305665890320302,24.2,3.1999999999999993
1.2332013834133315,24.3,3.3000000000000007
1.1486554814492105,24.4,3.3999999999999986
1.0978725200971169,24.5,3.5
1.0837298907889497,24.6,3.6000000000000014
1.0938977552338474,24.7,3.6999999999999993
1.1118773118069425,24.8,3.8000000000000007
1.1292231621267346,24.9,3.8999999999999986
1.151482862199514,25.0,4.0
1.1940106064456548,25.1,4.100000000000001
1.2697819756611204,25.2,4.199999999999999
